"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"1",1948-01-01,"21","18","12","19","16","11","100","93","85","29.92","29.79","29.69","10","5","0","32","22","","0.00","0","Snow","325<br />","Topeka (KS)","Winter"
"2",1948-01-02,"30","16","3","23","13","3","100","84","56","29.99","29.94","29.90","10","8","2","12","6","","0.00","0","","227<br />","Topeka (KS)","Winter"
"3",1948-01-03,"46","34","23","33","28","21","100","79","58","30.08","29.89","29.80","10","10","8","18","8","","0.00","0","","249<br />","Topeka (KS)","Winter"
"4",1948-01-04,"39","32","25","30","26","21","100","74","62","30.36","30.27","30.12","15","11","7","17","13","","0.00","0","","280<br />","Topeka (KS)","Winter"
"5",1948-01-05,"41","33","25","31","28","24","96","81","62","30.39","30.18","30.08","15","12","10","12","7","","0.00","0","","234<br />","Topeka (KS)","Winter"
"6",1948-01-06,"44","32","19","27","24","19","100","79","47","30.46","30.36","30.17","15","10","2","16","9","","0.00","0","","245<br />","Topeka (KS)","Winter"
"7",1948-01-07,"50","42","35","36","31","23","93","69","56","30.15","30.00","29.93","15","11","7","26","13","","0.00","0","","223<br />","Topeka (KS)","Winter"
"8",1948-01-08,"53","42","30","41","35","30","100","83","41","30.13","29.93","29.83","10","8","7","14","7","","0.00","0","","235<br />","Topeka (KS)","Winter"
"9",1948-01-09,"44","36","27","35","32","27","100","85","65","30.47","30.32","30.14","15","11","2","12","7","","0.00","0","Fog","330<br />","Topeka (KS)","Winter"
"10",1948-01-10,"41","32","23","33","29","23","100","93","67","30.56","30.45","30.30","8","4","0","12","5","","0.00","0","Fog","127<br />","Topeka (KS)","Winter"
"11",1948-01-11,"50","42","33","42","34","29","100","75","62","30.27","30.01","29.87","15","10","1","26","14","","0.00","0","Fog","213<br />","Topeka (KS)","Winter"
"12",1948-01-12,"39","30","19","36","25","12","96","76","63","30.55","30.28","30.05","15","12","3","20","13","","0.00","0","","321<br />","Topeka (KS)","Winter"
"13",1948-01-13,"33","26","16","25","17","12","100","75","56","30.56","30.49","30.41","15","12","3","30","14","","0.00","0","Snow","296<br />","Topeka (KS)","Winter"
"14",1948-01-14,"30","18","7","17","10","4","88","69","53","30.61","30.41","29.99","15","12","10","24","14","","0.00","0","","243<br />","Topeka (KS)","Winter"
"15",1948-01-15,"44","30","15","29","19","4","96","68","47","30.51","30.15","29.95","15","11","2","32","13","","0.00","0","","295<br />","Topeka (KS)","Winter"
"16",1948-01-16,"19","14","8","7","4","-1","92","72","57","30.72","30.63","30.53","15","13","10","20","12","","0.00","0","","343<br />","Topeka (KS)","Winter"
"17",1948-01-17,"27","15","3","13","8","2","100","76","49","30.66","30.51","30.32","15","11","3","17","6","","0.00","0","","167<br />","Topeka (KS)","Winter"
"18",1948-01-18,"30","24","19","24","16","10","92","70","47","30.35","30.30","30.27","10","9","4","22","13","","0.00","0","Snow","187<br />","Topeka (KS)","Winter"
"19",1948-01-19,"33","22","12","21","14","9","100","72","45","30.44","30.33","30.19","15","12","10","15","8","","0.00","0","","247<br />","Topeka (KS)","Winter"
"20",1948-01-20,"48","34","19","28","23","16","100","71","46","30.18","30.05","29.97","15","10","3","22","13","","0.00","0","","230<br />","Topeka (KS)","Winter"
"21",1948-01-21,"39","31","23","25","21","15","100","71","45","29.98","29.90","29.75","15","12","5","28","9","","0.00","0","","335<br />","Topeka (KS)","Winter"
"22",1948-01-22,"27","15","3","21","12","-3","96","78","63","30.32","29.86","29.56","15","13","10","23","13","","0.00","0","Snow","25<br />","Topeka (KS)","Winter"
"23",1948-01-23,"16","5","-6","2","-5","-11","83","66","37","30.43","30.34","30.23","15","13","10","16","10","","0.00","0","","62<br />","Topeka (KS)","Winter"
